lat,lon
4.7471239,-74.0984288
4.747461299999999,-74.0980336
4.7468763,-74.09834679999999
4.7471248,-74.0981565
4.7471876,-74.09812989999999
4.7472422000000005,-74.09812159999998
4.747273599999998,-74.0980984
4.747328199999999,-74.0980735
4.747381099999998,-74.098047
4.7472636999999995,-74.0978793
4.7471893,-74.0979706
4.7473133,-74.09790759999998
4.7471728,-74.0979889
4.7470801,-74.098037
4.7469412,-74.09809669999999
4.746871699999998,-74.09814320000001
4.7470552999999995,-74.0980403
4.7496338,-74.0926864
4.750185799999999,-74.093996
4.7499452,-74.0943131
4.7503928,-74.0934687
4.7503185,-74.09379099999998
4.7503713,-74.0939679
4.7497891,-74.0942813
4.7507005,-74.10132499999999
