lat,lon
4.750808300000001,-74.0956951
4.752805799999999,-74.0985241
4.7551984,-74.1007847
4.7550413,-74.1005393
4.755445000000001,-74.09960689999998
4.7549116,-74.0996784
4.7548195,-74.1000378
4.754768099999999,-74.0999689
4.754294899999999,-74.0999979
4.7542316,-74.1000406
4.754108799999998,-74.1001216
4.753469900000001,-74.0981182
4.7534204,-74.0980439
4.7533784,-74.0979628
4.748047099999999,-74.09915390000002
4.747796599999999,-74.0985511
4.7546701,-74.0909554
4.750235399999999,-74.09927579999999
4.7527722,-74.09912999999999
4.747272,-74.0979308
4.746979200000001,-74.0980802
4.7548229,-74.09274639999998
